528,1,3
4634,1,4
6175,1,4
2511,1,4
11967,1,3
9420,1,5
8130,1,1
3998,1,5
9038,1,5
11837,2,5
3090,2,5
8886,2,4
13689,2,5
13509,2,5
14645,2,5
13385,2,5
10675,2,4
10981,2,5
6641,2,3
4973,2,5
1277,3,5
551,3,1
2177,3,5
4241,3,4
5141,4,5
7008,4,3
3050,4,5
10217,4,5
9263,5,5
13461,5,5
3418,5,3
1988,5,5
5600,6,5
10146,6,5
7748,6,3
5043,6,5
10296,6,5
5053,7,5
9268,7,5
6049,8,5
8337,8,4
8588,8,5
10422,9,1
9108,9,5
2209,9,5
11527,9,5
6525,9,1
14389,10,1
3509,10,5
1808,12,3
3470,12,5
2832,12,5
14527,12,5
7888,13,5
7877,13,3
2182,13,3
14492,14,5
9380,14,5
12809,14,5
12809,15,5
11391,16,5
5054,16,5
804,16,4
8610,16,5
8778,16,5
3705,16,5
11718,16,5
12643,16,5
13362,17,5
13026,17,5
2178,17,5
4161,18,4
10146,18,5
1962,19,5
7906,19,5
9897,19,5
6423,19,5
3205,20,4
7932,20,5
6599,20,3
12278,20,5
3822,20,3
1514,20,5
3855,21,3
14441,21,5
1954,21,5
1713,22,5
6276,22,4
3512,22,5
9590,22,2
5347,22,5
10745,23,3
10370,23,2
4698,23,5
10724,23,5
3638,24,4
4698,24,5
6714,24,5
9150,24,5
12352,25,5
2144,25,2
3638,25,4
7007,25,3
4698,25,5
8907,25,5
14224,25,2
435,26,5
4603,27,5
8036,27,4
6927,27,4
14579,27,5
12723,28,5
14551,28,5
7779,28,1
2241,28,5
2672,28,5
11072,28,5
11404,29,3
14083,29,2
9975,29,5
13453,29,5
4048,29,5
14281,30,5
5396,31,5
13730,31,5
8557,31,5
780,31,5
2725,31,5
7494,32,5
5602,32,5
10128,32,5
8234,32,1
7274,32,5
4207,32,5
7394,32,5
10464,32,5
6280,32,1
4074,32,5
2992,32,4
4242,32,5
8972,32,5
8379,32,5
10757,32,5
6277,32,5
4804,32,5
12119,32,5
6897,32,5
11589,32,5
14196,32,5
48,32,5
4442,32,5
13327,32,4
960,32,5
11940,32,5
10455,32,5
9417,32,1
5208,32,5
9805,32,4
